abbot	Ledare för ett kloster	Munkarnas överhuvud
avgav	Lämnade ifrån sig något, till exempel en röst	Utfärdade en förklaring i det förflutna
avger	Utsöndrar, till exempel doft	Sänder ifrån sig gas eller lukt
avgör	Fäller det slutgiltiga beslutet	Bestämmer utgången
avser	Syftar på	Har för avsikt
avsky	Stark motvilja	Djupt förakt
avstå	Välja bort något	Ge upp en rättighet frivilligt
avsåg	Hade som mål	Syftade på, tidigare
avtal	Skriftlig överenskommelse	Kontrakt mellan parter
avtar	Minskar gradvis	Blir svagare med tiden
avund	Missunnsamhet mot andras lycka	Känsla av att önska sig andras ägodelar
axlar	Kroppsdelar man lyfter på	Bär ansvar på dem
backe	Sluttande mark	Kulle att gå uppför
bagen	Väskan man bär saker i	Behållaren för golfklubbor
bakat	Gjort bröd i ugn	Tillrett en tårta
banda	Spela in på ljudmedium	Göra inspelning av ljud
banka	Slå hårt upprepade gånger	Bulta på en dörr
barer	Ställen där drinkar serveras	Krogar med disk
basar	Marknad med många stånd	Torg för handel i Mellanöstern
basis	Grundval för något	Fundament man bygger på
basse	Grov, självsäker kille i vardagligt tal	Slang för en stor och kraftig pojke
basta	Punkt, slut på diskussion	Ett bestämt avslut
bastu	Het ångfylld liten stuga	Rum för att svettas i värme
bebis	Litet spädbarn	Nyfödd unge
becka	Stryka på tjärliknande ämne	Täcka med svart klibbigt material
bente	Namn på en björnliknande karaktär	Kvinnligt förnamn i Norden
bestå	Fortsätta att existera	Klara sig igenom, som ett prov
bison	Stort vildnötsdjur i Nordamerika	Behornat gräsätande djur med päls
bitas	Nafsas som djur	Sårar med tänderna, ömsesidigt
biten	Har fått ett tandavtryck	Såret efter ett hugg av käkarna
bitit	Har använt tänderna på något	Har nafsat till
black	Vätska att skriva med	Fylls på i pennan
bland	Mitt ibland, i en mängd	Mitt ibland, i en mängd
blink	Snabb rörelse med ögonlocket	Signal med lampa
blogg	Personlig dagbok på nätet	Regelbundet uppdaterad webbsida
bloss	Ett drag på cigaretten	Kort låga eller sken
blott	Endast, bara	Enbart, inget annat
blues	Musikstil med melankoli	Genre med gitarr och sorg
bluff	Falskt påhitt	Lurendrejeri
blåsa	Fläkta med munnen	Producera vind
bodde	Hade sitt hem, dåtid	Var bosatt förr
bokar	Reserverar en tid	Ordnar en plats i förväg
borta	Inte hemma	Försvunnen från platsen
botar	Gör frisk	Läker en sjukdom
botas	Blir frisk, passiv form	Läks från sjukdom
braka	Låta högt vid sammanstötning	Rasa samman med dån
brand	Eld som sprider sig okontrollerat	Orsak till stort rökmoln i en byggnad
brant	Mycket sluttande	Svår att klättra uppför
brasa	Eld i öppen spis	Ved som brinner mysigt
brass	Gult, blankt legeringsmetall	Material i blåsinstrument
brast	Gick sönder plötsligt, i dåtid	Sprack eller sprängdes, förr
bravo	Utrop av beundran	Jubelrop efter en bra insats
break	Paus i arbetet	Kort avbrott, gärna för kaffe
breda	Göra en smörgås med pålägg	Sprida ut ett tunt lager på något
bredd	Måttet från sida till sida	Geografisk koordinat, nord-syd
brett	Utsträckt över stort område	Motsats till smalt
broms	Stoppar en bil	Blodsugande insekt
brons	Tredjeplatsmedaljens metall	Legering av koppar och tenn
brosk	Mjuk vävnad i leder och öron	Elastiskt material i näsan
brunt	Färgen på choklad	Höstlövens vanliga färg
brygd	Resultatet av jäsning	Hembryggd dryck
bryts	Delas i bitar med kraft	Kan sönderfalla under press
brytt	Har ägnat omtanke åt något	Har låtit sig påverkas
bråte	Skräp och skrot	Rörig hög av gammalt material
bröst	Kroppsdel framtill på överkroppen	Där hjärtat sitter
bröts	Delades i bitar, i dåtid	Sönderdelades under press, förr
bubba	Vardagligt ord för penningsedel	Slanguttryck för sedel
bådas	Man anar att det kommer att ske	Det syns tecken på något
bädda	Göra i ordning sängen	Lägga tillrätta för sömn
bästa	Den mest utmärkta av alla	Kärt tilltal till en nära vän
bössa	Behållare för sparade slantar	Ett skjutvapen med lång pipa
campa	Övernatta i tält utomhus	Bo i husvagn på semester
coolt	Modernt och stilfullt	Något som imponerar och känns trendigt
dalar	Lågt liggande landskap mellan berg	Sänker sig, som en kurva som minskar
dalen	Låglänt mark mellan bergen	Platsen där en flod ofta rinner
dalta	Skämma bort någon överdrivet	Vara alltför mesig mot ett barn
damma	Torka bort stoft från möbler	Virvla upp fint stoft i luften
dansa	Röra sig till musik	Utföra steg i takt med rytmen
datan	Den lagrade informationen i systemet	Siffrorna som samlats in för analys
degen	Blandningen man knådar innan bakning	Det man kavlar ut till bröd eller bulle
delas	Fördelas mellan flera personer	Bryts upp i flera delar
delat	Fördelat lika mellan flera	Kluvet i sin åsikt
delge	Meddela information till någon	Lämna över uppgifter formellt
denna	Pekord för något nära, kvinnligt eller neutralt	Används för att peka ut ett specifikt exemplar
denne	Syftar på en tidigare nämnd manlig person	Formellt ord för 'han'
deras	Tillhör dem, ägandeform	Possessivt ord för flera personer
desto	Ju mer, ju bättre blir det	Förstärker en jämförelse i en sats
detta	Pekar på det som just nämnts	Den här saken, konkret
devon	Geologisk period efter silur	Äldre epok i jordens historia
diket	Den grävda rännan vid vägkanten	Där bilen hamnar vid en olycka i vägkanten
dissa	Prata nedsättande om någon	Förlöjliga eller kritisera hårt
dolda	Ej synliga för blotta ögat	Gömda undan andras blickar
dolde	Gömde undan något	Höll hemligt för andra
doser	Mängder av medicin som ska tas	Uppdelade portioner av ett läkemedel
drake	Mytiskt eldsprutande odjur	Flygande leksak med lina
dress	Enhetlig klädsel för en grupp	Uniform som bärs vid tävling
drevs	Jagades av en grupp	Utsattes för påtryckningar framåt
drift	Löpande verksamhet av en anläggning	Böjelse eller stark inre lust
drink	Blandad alkoholhaltig dryck på en bar	Cocktail som serveras med is
droga	Bruka ett berusande preparat	Ge någon ett bedövande ämne
dryga	Räcka längre genom tillsats	Öka mängden av något med fyllnadsmedel
drygt	Något mer än angivet antal	Med viss överlägsenhet i tonen
drägg	Bottensats i en vätska	Föraktfullt ord för samhällets sämsta
dräng	Manlig arbetare på en gård förr i tiden	Tjänare som skötte jordbruksarbete
dränk	Sänkning under vatten	Att göra genomblöt med vätska
dräpa	Ta livet av någon, mer högtidligt uttryckt	Döda i strid eller kamp
dröja	Ta längre tid än väntat	Skjuta upp något i tiden
dröjt	Tagit längre tid än planerat	Blivit fördröjd
drömt	Upplevt bilder under sömnen	Fantiserat om något efterlängtat
dvärg	Mytologisk liten varelse	Ovanligt kortvuxen figur i sagor
eksem	Hudutslag med klåda	Röd irriterad hudsjukdom
elaka	Ondsinta personer	De grymma i sagan
elake	Den ondsinte mannen	Skurken i berättelsen
elakt	Sagt på ett grymt sätt	Ondskefullt uttalat
eldar	Tänder bränder	Håller brasan vid liv
elden	Lågorna i brasan	Branden
elfte	Ordningstal efter tionde	Kommer direkt efter tionde
eller	Ord som ger alternativ	Antingen det ena — — det andra
email	Meddelande skickat via dator	Elektroniskt brev
enade	Förde samman till en enhet	Gjorde eniga, i förfluten tid
enats	Blivit överens	Kommit fram till samförstånd
eniga	Överens i en fråga	Samstämmiga i en åsikt
enkel	Lätt att förstå	Utan krångel
enkla	Okomplicerade saker	De lättbegripliga varianterna
enorm	Väldigt stor till storleken	Kolossal i omfång
ensak	Något som bara angår en själv	Privat angelägenhet, ej andras
enter	Tangenten som avslutar en rad	Knappen man trycker för att bekräfta
envar	Ålderdomligt ord för 'var och en'	Uttryck som betyder alla individuellt
envis	Ger inte upp i första taget	Beskriver en som tjatar länge
episk	Om storslaget äventyr	Väldigt dramatisk och stor
etern	Radiovågornas medium	Sändningsutrymmet i luften
ettan	Den lilla lägenheten	Första växeln i bilen
ettor	Små bostäder med enda rummet	Siffror som anger första platsen
eviga	De som varar för alltid	Ändlösa, om till exempel löften
evigt	För alltid, adverbialt	Utan ände i tid
exfru	Tidigare maka	Kvinnan man skilde sig från
extra	Något utöver det vanliga	Ytterligare, mer
fagra	Vackra, i äldre stil	Sköna att se på, poetiskt
faran	Hotet	Risken man varnas för
faror	Flera hot eller risker	Olika saker som kan skada
fasad	Husets utsida	Yttre sken, bildligt
fasor	Skräckupplevelser	Hemska saker man minns
fatta	Förstå något	Greppa med handen
fegar	Drar sig undan av rädsla	Backar ur på grund av feghet
femte	Efter den fjärde i ordning	Placeringen mellan fyra och sex
festa	Fira med andra	Roa sig med dryck och dans
fiska	Ägna sig åt att fånga abborre	Kasta ut spö och krok
fjant	Person som beter sig fånigt	Enfaldig och larvig människa
flagg	Nationssymbol på en stång	Tygbit man hissar vid högtid
flera	Mer än ett par stycken	Ett obestämt större antal
flest	Det största antalet av alla	Superlativ av många
flirt	Lekfullt kurtiserande beteende	Ögonkast med romantiska avsikter
flykt	Att fly från fara eller fångenskap	En resa genom luften med flygplan
flyta	Hålla sig kvar på vattenytan	Röra sig mjukt som en vätska
fläkt	Apparat som skapar luftdrag	En viss stil eller känsla över något
fläsk	Griskött med mycket fett	Bacon kommer från detta djur
forna	Från en svunnen tid	Det som en gång var, förr
frakt	Godstransport mot betalning	Avgift för att skicka en vara
friad	Blev frikänd i rätten	Fick sin oskuld fastställd av domstol
friar	Ber om någons hand i äktenskap	Föreslår giftermål på knä
frias	Blir förklarad oskyldig	Slipper straff efter rättegång
frisk	Utan sjukdom eller krämpor	I gott skick hälsomässigt
fritt	Utan kostnad eller begränsning	Öppet och obehindrat
frost	Tunt lager is på marken en kall morgon	Kyla som får rimfrost att bildas
fruar	Gifta kvinnor	Makor till flera män
fryst	Nedkyld till is	Bevarad genom kyla, som viss mat
fröjd	Stor glädje och lycka	Känsla av njutning och lust
fröna	De där små sakerna man planterar	Solrosens korn
fuska	Bryta mot reglerna för att vinna	Göra något slarvigt och oärligt
fåtal	Endast några stycken	Motsats till flertal
färre	Mindre till antalet	Inte lika många som förut
fästa	Att sätta fast något ordentligt	Binda ihop två delar
gagna	Att vara till nytta för något	Att gynna en sak
galan	Den festliga tillställningen	Prisutdelningen med röda mattan
galen	Vansinnig eller tokig	Handlar helt oberäkneligt
galet	Vansinnigt eller tokigt, om ett neutrumord	Alldeles fel och absurt
galna	Tokiga eller vansinniga, flera	Handlar helt orimligt, om flera
galne	Den tokige mannen	Han som beter sig vansinnigt
gamar	Asätande rovfåglar	Fåglar som cirklar över kadaver
gamen	Asätaren	Rovfågeln som cirklar över byte
gamle	Den äldre mannen	Kompisen från förr, tilltal
garde	Vaktstyrka kring en furste	Elittrupp som skyddar
gecko	Liten ödla som kan klättra på väggar	Reptil med klibbiga fötter
gener	Arvsanlag, flera stycken	DNA-segment som bär arvsinformation
genre	Kategori inom konst eller litteratur	Stilriktning för musik eller film
geten	Djuret med horn och skägg	Betande husdjur som ger mjölk
gevär	Vapen som soldater bär	Långt skjutvapen
gifta	Ingå äktenskap	Bli man och hustru
gitte	Ville, i äldre talspråk	Hade lust att göra något, gammaldags
glass	Kall efterrätt på sommaren	Krämig dessert i strut
glatt	Hal yta	Utan friktion
glida	Röra sig mjukt över en yta	Åka fram utan att stöta
gläds	Känner glädje åt något	Fröjdar sig
gnaga	Bita smått och länge	Tugga sönder med små bett
gnida	Gnugga mot en yta	Frottera intensivt
gnäll	Klagande ljud	Missnöjt tjatande
godta	Acceptera ett förslag	Säga ja till villkor
gosse	Ung pojke	Manlig unge
graal	Legendarisk bägare i sagor	Föremål som riddare sökte efter
grabb	Vardagligt ord för pojke	Ung kille, informellt
grant	Prunkande	Praktfullt och färgstarkt
greps	Blev fasttagen av polisen	Man höll fast i det med handen
greve	Adelstitel under en hertig	Man med adlig rang och gods
grind	Öppning i ett staket man kan stänga	Den man fäller ner vid en järnvägskorsning
gripa	Att fånga någon med händerna	Polisen gör detta med en misstänkt
grips	Man fattas tag i med kraft	Blir tagen om av en stark känsla
groda	Grönt hoppande djur vid dammen	Ett djur som kväker och simmar
grodd	Ung skott från ett frö	Det första som växer ur ett sädeskorn
gross	Ett dussin dussin, en stor mängd i handeln	Tolv dussin räknat som en enhet
grove	Beskriver en man som är ojämn eller sträv	Om en man som begått ett allvarligt brott
grunt	Motsatsen till djupt vatten	Ytligt, inte djuptänkt
gruva	Plats under jord där malm bryts	Anläggning för utvinning av mineraler
gråta	Fälla tårar av sorg	Vad ett litet barn ofta gör vid smärta
grått	Färgen mellan svart och vitt	Molnigt och dystert väder, ofärgat
gräla	Att skälla ut någon	Att vara högljutt osams med någon
gränd	Smal gata mellan hus	Trång passage i en gammal stadsdel
gärna	Med glädje, utan tvekan	Ordet man säger när man villigt tackar ja
haffa	Gripa tag i någon	Sätta fast en rymling
hagel	Små isklumpar från skyn	Ammunition till en flinta
hakar	Kroppsdelar under munnen	Fastnar i något, som en krok
halvt	Till hälften utfört	Delvis, inte fullt
hasta	Skynda sig iväg	Rusa fram i brådska
heder	Aktning och gott rykte	Att stå för sina ord med stolthet
helar	Gör frisk igen	Läker sår och sjukdomar
hemsk	Fruktansvärt otäck	Skräckinjagande och avskyvärd
hissa	Dra upp en flagga	Höja något med linor
human	Medmänsklig och mild	Visar hänsyn och godhet
husse	Hundens manliga ägare	Kallas mannen i huset av hunden
huvet	Kroppsdelen där hjärnan sitter, vardagligt	Slangord för skallen
hårda	Kärva och strikta, om regler	Motsats till mjuka
hälla	Att låta vätska rinna ur en behållare	Vad man gör med mjölk i ett glas
härom	För kort tid sedan, ungefär	Nyligen, i tidsuttryck
ideal	Perfekt förebild	Det man strävar mot
ifatt	Nått samma nivå som någon annan	Kommit i kapp
ifrån	Med ursprung från en plats	Bortifrån, riktning
ikapp	I samma takt som någon annan, till slut	Springa för att komma i fatt
iller	Litet rovdjur i vesselsläktet	Pälsdjur som ibland hålls tamt
ilska	Stark vrede	Känsla som får en att bli arg
image	Yttre bild av en person eller ett företag	Rykte och framtoning utåt
immun	Motståndskraftig mot en sjukdom	Oemottaglig för smitta
impad	Behandlad mot väta	Skyddad så att vatten inte tränger in
inatt	Kommande natt eller natten som just varit	Tidsangivelse för mörkrets timmar
infon	Kortform för upplysningarna	Faktabladet, i vardagligt tal
ingen	Inte en enda person	Noll av något, syftande på människor
inget	Ingenting alls	Noll av något, syftande på ting
inköp	Det man handlar och betalar för	Anskaffning genom köp
innan	Tidigare än något annat	Före en viss tidpunkt
insyn	Möjlighet att se hur något går till	Öppenhet i en verksamhet
intag	Förs in i kroppen, till exempel mat	En erövring av en plats
intar	Erövrar just nu	Sätter sig på en plats, i nutid
intim	Mycket förtrolig och nära	Privat och personlig i relationer
inuti	På insidan av något	Djupt inne i ett föremål
ironi	Att mena motsatsen till det man säger	Sarkastisk underton i tal
irrar	Vandrar planlöst omkring	Går vilse, i nutid
islam	En av världens stora religioner	Tro grundad av en profet i Arabien
ivrig	Full av entusiasm	Otålig att komma igång
jabba	Prata mycket och snabbt	Sladdra på utan uppehåll
jagad	Förföljd av någon	Den som andra är efter
jaget	Ens innersta identitet	Psykologisk term för självet
jasså	Utrop av förvåning	Reaktion på oväntad nyhet
jubla	Ropa av glädje	Fira högljutt en seger
julen	Högtiden i december	Tiden med gran och klappar
jäkla	Förstärkande svordomsliknande ord	Uttrycker irritation framför substantiv
kajak	Smal paddelbåt	Farkost man paddlar sittande i
kakan	Den söta bakelsen på fatet	Bakverket som serveras vid kalas
kakao	Pulver till varm choklad	Ingrediens i choklad
kallt	Låg temperatur, motsatsen till varmt	Hur vädret känns en vintermorgon
kanal	Konstgjord vattenväg	TV-station man byter till
kandi	Sockerbit i klumpform	Söt sockerkristall till kaffet
kanel	Krydda i bullar	Doftande krydda från bark
kanna	Behållare för kaffe eller vatten	Kärl med pip att hälla ur
kanot	Farkost man paddlar med enkelblad	Smal båt för forsfärder
kapad	Tagen med våld, som ett flygplan	Avkortad eller olagligt övertagen
kapar	Tar över ett flygplan med våld	Klipper av något onödigt
kapat	Har tvingat till sig kontroll över ett fordon	Har klippt bort en del
karas	Blir föremål för uppvaktning	Blir omtyckt av en man, förr i tiden
karat	Mått på ädelstenars renhet	Enhet för guldets halt
karet	Gammaldags fordon draget av häst	Fint åkdon för kungligheter
karln	Vardagligt ord för mannen	Den manlige personen, informellt
karta	Papper som visar vägar och platser	Hjälpmedel för att hitta rätt väg
kassa	Plats där man betalar i butiken	Behållare för pengar i en affär
kasst	Vardagligt ord för uselt	Nedsättande omdöme om något dåligt
kasta	Slänga iväg något	Vad man gör med en boll
kavaj	Del av en kostym	Plagg man bär över skjortan
kaxig	Uppnosig och självsäker	Fräck på ett utmanande sätt
kikar	Titta genom optiskt instrument	Speja i fjärran
kilar	Springer snabbt iväg	Formar som håller fast något
kille	Ung man	Pojke eller ung man
kilon	Viktenheter man går ner i	Vad man mäter kroppsvikt i
kines	Person från Östasien	Talar mandarin, kanske
kisse	Smeknamn på en katt	Mjukt ord för husdjuret som jamar
kista	Låda man begravs i	Förvaringslåda av trä
klaga	Uttrycka missnöje	Gnälla över något
klang	Ljudet från en klocka	Tonens karaktär
klant	Person som gör dumma misstag	Klumpig och oskicklig person
klapp	Mild beröring med handen	Gåva vid högtid
klart	Utan tvekan sant	Fritt från moln, om himlen
klass	Grupp av elever	Kvalitetsnivå
klave	Krage för dragdjur	Sida på ett mynt vid singling
klena	Svaga och kraftlösa	Bräckliga, ej starka
kloak	Rör för avloppsvatten	System under staden för smutsvatten
klona	Skapa en genetisk kopia	Duplicera en organism biologiskt
klubb	Förening för medlemmar	Plats för nattligt festande
klunk	En liten mängd dryck	Sväljer man i en enda tugga
klyva	Dela något i två delar	Hugga sönder ved med yxa
klädd	Har kläder på sig	Beklädd med tyg
klösa	Rispa med naglar	Attackera med vassa naglar
knack	Ljud från en knytnäve på dörren	Ljudet innan någon öppnar dörren
knapp	Sitter på en skjorta	Trycks för att starta något
knark	Olagliga droger	Illegala substanser
knyst	Minsta ljud, sades inte ett enda	Litet pip eller mummel
knyta	Fästa ihop med snöre	Göra en knut på något
knäck	Klibbig godis med smör och socker	Plötsligt sammanbrott, gick sönder
knäna	Kroppsdelar man böjer när man sitter	Lederna mellan lår och underben
kodad	Skriven i programmeringsspråk	Krypterad eller omvandlad till kod
koden	Hemligt system för meddelanden	Sifferserien till kassaskåpet
kokta	Tillagade i hett vatten	Mjuknade genom värme i vätska
kolet	Svart bränsle till grillen	Ämnet som blev till diamant
komet	Himlakropp med svans av is	Reser genom rymden med lysande svans
komma	Skiljetecken i en mening	Anlända till en plats
konst	Måleri och skulptur	Kreativt skapande verk
kopia	Exakt duplikat av original	Reproduktion av ett dokument
kosta	Ha ett visst pris	Innebära en utgift
kotte	Faller från gran eller tall	Fröhus från barrträd
kraft	Styrka eller energi	Gör att en motor kan driva något
krage	Del av en skjorta runt halsen	Sitter högst upp på plagget
krake	Klen eller svag person	Mager och sjuklig häst
krama	Omfamna någon varmt	Trycka något hårt i handen
kramp	Plötslig muskelsammandragning	Smärtsam stelhet i musklerna
krans	Rund blomsterdekoration	Läggs vid en grav
krets	Elektrisk koppling	Grupp av personer med gemensamt intresse
krita	Används för att skriva på tavlan	Vitt stift av mineral
krona	Svensk valuta	Sitter på kungens huvud
kruka	Kärl för blommor	Nedsättande ord för feg person
krypa	Röra sig på alla fyra	Underdånigt smickra någon
kryss	Tecken som markerar rätt ruta	Segeltur utan mål
kråka	Svart fågel som kraxar	Ful handstil kallas ibland detta
kräks	Kastar upp	Mår illa och tömmer magen
kräla	Röra sig som en orm	Ta sig fram tätt intill marken
kräva	Ställa krav på	Fordra något bestämt
krävs	Är nödvändigt	Behövs för att lyckas
kvarn	Byggnad som mal säd	Sten som krossar korn
kvast	Redskap att sopa med	Häxans flygfordon i sagor
kvick	Snabb i tanken	Rolig och slagfärdig
kvitt	Skulden är betald	Man slipper något besvärligt
kylan	Den bitande vintertemperaturen	Frosten man känner utomhus
kysst	Har fått en puss	Berört med läpparna
kårar	Rysningar längs ryggen	Militära enheter i flera exemplar
käfta	Prata gapigt emot	Bråka verbalt med någon
käket	Vardagligt ord för maten	Det man äter vid ett mål
kände	Upplevde en känsla	Var bekant med någon sedan förut
kärra	Enkelt fordon med hjul för transport	Skjuts man drar för hand
köpta	Anskaffade mot betalning, flera stycken	Varor man skaffat i affären
köpte	Betalade för en vara förr i tiden	Gjorde ett inköp igår
körde	Framförde ett fordon förr	Styrde bilen igår
ladan	Byggnaden där hö förvaras	Bondgårdens förrådshus
lagad	Tillredd, om mat	Reparerad, om ett föremål
lagar	Tillreder mat just nu	Reparerar något som gått sönder
lagen	Regelverket i samhället	Det juridiska system man måste följa
laget	Sportgruppen som tävlar tillsammans	Truppen med spelare
lagom	Varken för mycket eller för lite	Precis rätt mängd
landa	Ett flygplan gör detta vid ankomst	Sätta ner på marken efter flygning
langa	Sälja narkotika olagligt	Räcka något vidare i en kedja
larma	Slå på en varningssignal	Ringa efter hjälp vid nödläge
larva	Bete sig fånigt	Göra dumheter för skojs skull
lasta	Fylla ett fordon med gods	Lägga varor ombord för transport
latin	Antikt romerskt språk	Källa till många europeiska ord
latte	Kaffe med mycket mjölk	Populär kaffedryck på café
lavin	Snömassa som rasar nerför berg	Fara för skidåkare i fjällen
laxen	Den rosa fisken	Fisken som simmar uppström för att leka
leden	Vandringsstigen	Kroppsdelen som böjs
ledet	Släktledet	Steget i en process
lekar	Flera aktiviteter för barn	Tävlingar på en fest
leken	Aktiviteten	Spelet barnen håller på med
lekte	Roade sig förr med spel	Höll på med lekfull sysselsättning
leran	Materialet i keramik	Formbar jordart vid en flodbank
letar	Söker just nu	Spanar efter något förlorat
levat	Har existerat	Har varit vid liv
levde	Var vid liv förr	Existerade tidigare
lever	Är vid liv	Organ som renar blodet
lidit	Har utstått plåga	Har genomlidit svårigheter
light	Kalorisnål variant av en produkt	Mild eller lättare version
likna	Ha stora gemensamma drag med något annat	Påminna starkt om en annan person eller sak
lille	Den unge pojken, smeknamn	Ordet för en liten kille
linje	Rak sträcka mellan två punkter	Busslinjens väg mellan hållplatser
linne	Tyg gjort av lin	Ärmlös tröja
lipar	Gråter gnälligt just nu	Kinkar och tjuter
lirar	Spelar match, vardagligt	Håller på med ett spel
lista	Räkna upp i punkter	Sammanställning av namn
litat	Har haft förtroende för	Har räknat med någon
liter	Volymmått för vätska	Enhet i mjölkkartongens storlek
livat	Full av energi och glädje	Stämningsfullt och festligt
livet	Tillvaron från födsel till död	Existensen som helhet
logga	Skriva in i en dagbok eller system	Symbol för ett företag, kortform
lokal	Utrymme man hyr för verksamhet	Rör en avgränsad plats
loser	Person som ofta misslyckas, slang	En nolla enligt slanguttryck
lotto	Spel med talrader och vinstchans	Chansspel med rätta siffror
lovat	Har gett sitt ord om något	Har utlovat en handling
lurar	Bedrar någon	Vilseleder med list
luska	Undersöka i smyg	Snoka reda på något
lusta	Stark åtrå	Kroppslig längtan
luvan	Den varma mössan man drar över öronen	Vinterplagget för huvudet
lykta	Lampa som lyser utomhus	Ljuskälla man bär eller hänger upp
lyste	Strålade i mörkret	Gav ljus förr i tiden
lådan	Den specifika förvaringsplatsen	Behållaren man just öppnade
lånar	Får något tillfälligt av annan	Tar ut pengar från banken
lånen	Skulderna man har till banken	De saker man fått tillfälligt
lånet	Den specifika skulden till banken	Det man fick tillfälligt av en vän
låret	Kroppsdelen ovanför knäet	Delen av benet man bryter vid fall
låsas	Bli reglad med nyckel	Stängas så att ingen kommer in
låste	Stängde med nyckel	Säkrade dörren igår
låtar	Musikstycken på en skiva	Sånger i en spellista
låtit	Har gett ifrån sig ljud tidigare	Har tillåtit något förr
läder	Garvat djurskinn	Material i skor och väskor
